Data structure name	Dataset name	Point count	Rect area	Single query time	Avg. points found
QuadTree2	set_1	10	1	0.0	10
QuadTree2	set_1	10	0.1	0.0	2
QuadTree2	set_1	10	0.01	1.5623867511749268e-05	0
QuadTree2	set_1	10	0.0001	1.562759280204773e-05	0
QuadTree2	set_1	10	1e-06	0.0	0
QuadTree2	set_1	100	1	1.5623867511749268e-05	100
QuadTree2	set_1	100	0.1	9.375810623168945e-05	26
QuadTree2	set_1	100	0.01	4.6875327825546265e-05	3
QuadTree2	set_1	100	0.0001	3.1251460313797e-05	0
QuadTree2	set_1	100	1e-06	1.562759280204773e-05	0
QuadTree2	set_1	1000	1	0.00021876394748687744	1000
QuadTree2	set_1	1000	0.1	0.000828176736831665	275
QuadTree2	set_1	1000	0.01	0.00031251460313796997	35
QuadTree2	set_1	1000	0.0001	6.250664591789246e-05	0
QuadTree2	set_1	1000	1e-06	6.250664591789246e-05	0
QuadTree2	set_1	10000	1	0.0024220161139965057	10000
QuadTree2	set_1	10000	0.1	0.007844194769859314	2727
QuadTree2	set_1	10000	0.01	0.002375137060880661	359
QuadTree2	set_1	10000	0.0001	0.00028126686811447144	3
QuadTree2	set_1	10000	1e-06	9.375438094139099e-05	0
QuadTree2	set_1	100000	1	0.016391564160585403	100000
QuadTree2	set_1	100000	0.1	0.053018663078546524	27421
QuadTree2	set_1	100000	0.01	0.017438501119613647	3635
QuadTree2	set_1	100000	0.0001	0.001359451562166214	39
QuadTree2	set_1	100000	1e-06	0.000250011682510376	0
QuadTree2	set_1	1000000	1	0.11625664681196213	1000000
QuadTree2	set_1	1000000	0.1	0.4409314692020416	277339
QuadTree2	set_1	1000000	0.01	0.14194561913609505	36649
QuadTree2	set_1	1000000	0.0001	0.010797493159770966	401
QuadTree2	set_1	1000000	1e-06	0.0014375783503055573	4
QuadTree2	set_2	10	1	0.0	10
QuadTree2	set_2	10	0.1	1.563131809234619e-05	5
QuadTree2	set_2	10	0.01	0.0	2
QuadTree2	set_2	10	0.0001	0.0	0
QuadTree2	set_2	10	1e-06	1.5623867511749268e-05	0
QuadTree2	set_2	100	1	3.1251460313797e-05	100
QuadTree2	set_2	100	0.1	0.00014063715934753418	53
QuadTree2	set_2	100	0.01	7.812678813934326e-05	18
QuadTree2	set_2	100	0.0001	4.6875327825546265e-05	1
QuadTree2	set_2	100	1e-06	4.6879053115844727e-05	0
QuadTree2	set_2	1000	1	0.00026564300060272217	1000
QuadTree2	set_2	1000	0.1	0.0010625608265399933	534
QuadTree2	set_2	1000	0.01	0.0006406605243682861	191
QuadTree2	set_2	1000	0.0001	0.00012500956654548645	19
QuadTree2	set_2	1000	1e-06	7.813051342964172e-05	1
QuadTree2	set_2	10000	1	0.0019063577055931091	10000
QuadTree2	set_2	10000	0.1	0.008109841495752335	5520
QuadTree2	set_2	10000	0.01	0.0049065276980400085	1921
QuadTree2	set_2	10000	0.0001	0.0006406605243682861	198
QuadTree2	set_2	10000	1e-06	0.00015626102685928345	20
QuadTree2	set_2	100000	1	0.006828516721725464	100000
QuadTree2	set_2	100000	0.1	0.044768184423446655	53071
QuadTree2	set_2	100000	0.01	0.031033024191856384	19313
QuadTree2	set_2	100000	0.0001	0.0034845732152462006	1991
QuadTree2	set_2	100000	1e-06	0.0005312785506248474	199
QuadTree2	set_2	1000000	1	0.09275530278682709	1000000
QuadTree2	set_2	1000000	0.1	0.5476406998932362	524383
QuadTree2	set_2	1000000	0.01	0.27790652215480804	186792
QuadTree2	set_2	1000000	0.0001	0.03404882550239563	19737
QuadTree2	set_2	1000000	1e-06	0.004437755793333054	1995
QuadTree2	set_3	10	1	0.0	10
QuadTree2	set_3	10	0.1	1.5623867511749268e-05	5
QuadTree2	set_3	10	0.01	1.562759280204773e-05	1
QuadTree2	set_3	10	0.0001	0.0	0
QuadTree2	set_3	10	1e-06	0.0	0
QuadTree2	set_3	100	1	3.1247735023498535e-05	100
QuadTree2	set_3	100	0.1	6.250664591789246e-05	55
QuadTree2	set_3	100	0.01	6.2502920627594e-05	19
QuadTree2	set_3	100	0.0001	3.1251460313797e-05	2
QuadTree2	set_3	100	1e-06	4.6879053115844727e-05	0
QuadTree2	set_3	1000	1	0.0002656392753124237	1000
QuadTree2	set_3	1000	0.1	0.000250011682510376	527
QuadTree2	set_3	1000	0.01	0.00017188489437103271	185
QuadTree2	set_3	1000	0.0001	9.375438094139099e-05	19
QuadTree2	set_3	1000	1e-06	7.812678813934326e-05	2
QuadTree2	set_3	10000	1	0.0018907301127910614	10000
QuadTree2	set_3	10000	0.1	0.0012031979858875275	5410
QuadTree2	set_3	10000	0.01	0.0005469061434268951	1892
QuadTree2	set_3	10000	0.0001	0.0002031363546848297	197
QuadTree2	set_3	10000	1e-06	0.00012500211596488953	20
QuadTree2	set_3	100000	1	0.005765955895185471	100000
QuadTree2	set_3	100000	0.1	0.0030782967805862427	53820
QuadTree2	set_3	100000	0.01	0.0014063306152820587	19318
QuadTree2	set_3	100000	0.0001	0.0005156546831130981	1999
QuadTree2	set_3	100000	1e-06	0.00035939738154411316	199
QuadTree2	set_3	1000000	1	0.09233340620994568	1000000
QuadTree2	set_3	1000000	0.1	0.04928407073020935	539039
QuadTree2	set_3	1000000	0.01	0.016469690948724747	187877
QuadTree2	set_3	1000000	0.0001	0.0037502124905586243	19919
QuadTree2	set_3	1000000	1e-06	0.0027970336377620697	2005
QuadTree2	set_4	10	1	1.562759280204773e-05	10
QuadTree2	set_4	10	0.1	1.5623867511749268e-05	3
QuadTree2	set_4	10	0.01	1.5623867511749268e-05	0
QuadTree2	set_4	10	0.0001	0.0	0
QuadTree2	set_4	10	1e-06	0.0	0
QuadTree2	set_4	100	1	1.562759280204773e-05	100
QuadTree2	set_4	100	0.1	7.812678813934326e-05	31
QuadTree2	set_4	100	0.01	4.6875327825546265e-05	10
QuadTree2	set_4	100	0.0001	4.6875327825546265e-05	0
QuadTree2	set_4	100	1e-06	3.1251460313797e-05	0
QuadTree2	set_4	1000	1	0.0002343878149986267	1000
QuadTree2	set_4	1000	0.1	0.0006094090640544891	364
QuadTree2	set_4	1000	0.01	0.00031251460313796997	99
QuadTree2	set_4	1000	0.0001	9.375438094139099e-05	6
QuadTree2	set_4	1000	1e-06	6.2502920627594e-05	0
QuadTree2	set_4	10000	1	0.002062622457742691	10000
QuadTree2	set_4	10000	0.1	0.005203422158956528	3230
QuadTree2	set_4	10000	0.01	0.0022657550871372223	1019
QuadTree2	set_4	10000	0.0001	0.0004062727093696594	48
QuadTree2	set_4	10000	1e-06	0.00014063343405723572	2
QuadTree2	set_4	100000	1	0.012281954288482666	100000
QuadTree2	set_4	100000	0.1	0.03614269196987152	35791
QuadTree2	set_4	100000	0.01	0.016454070806503296	9235
QuadTree2	set_4	100000	0.0001	0.0022970065474510193	588
QuadTree2	set_4	100000	1e-06	0.0005312822759151459	40
QuadTree2	set_4	1000000	1	0.10692799463868141	1000000
QuadTree2	set_4	1000000	0.1	0.2871883027255535	356075
QuadTree2	set_4	1000000	0.01	0.14271128922700882	84017
QuadTree2	set_4	1000000	0.0001	0.02051680162549019	4447
QuadTree2	set_4	1000000	1e-06	0.0037814676761627197	534
QuadTree2	set_5	10	1	1.562759280204773e-05	0
QuadTree2	set_5	10	0.1	0.0	0
QuadTree2	set_5	10	0.01	0.0	0
QuadTree2	set_5	10	0.0001	0.0	0
QuadTree2	set_5	10	1e-06	0.0	0
QuadTree2	set_5	100	1	4.6879053115844727e-05	1
QuadTree2	set_5	100	0.1	3.1251460313797e-05	0
QuadTree2	set_5	100	0.01	4.6879053115844727e-05	0
QuadTree2	set_5	100	0.0001	3.125518560409546e-05	0
QuadTree2	set_5	100	1e-06	4.6879053115844727e-05	0
QuadTree2	set_5	1000	1	0.000125005841255188	20
QuadTree2	set_5	1000	0.1	7.813051342964172e-05	3
QuadTree2	set_5	1000	0.01	7.812678813934326e-05	0
QuadTree2	set_5	1000	0.0001	6.2502920627594e-05	0
QuadTree2	set_5	1000	1e-06	6.2502920627594e-05	0
QuadTree2	set_5	10000	1	0.0006250366568565369	199
QuadTree2	set_5	10000	0.1	0.00026564300060272217	32
QuadTree2	set_5	10000	0.01	0.00014062970876693726	3
QuadTree2	set_5	10000	0.0001	9.375438094139099e-05	0
QuadTree2	set_5	10000	1e-06	9.375438094139099e-05	0
QuadTree2	set_5	100000	1	0.003687705844640732	1999
QuadTree2	set_5	100000	0.1	0.0012188218533992767	327
QuadTree2	set_5	100000	0.01	0.0005000308156013489	37
QuadTree2	set_5	100000	0.0001	0.0002031363546848297	0
QuadTree2	set_5	100000	1e-06	0.00017188861966133118	0
QuadTree2	set_5	1000000	1	0.035892680287361145	19989
QuadTree2	set_5	1000000	0.1	0.011203769594430923	3365
QuadTree2	set_5	1000000	0.01	0.004109609872102737	389
QuadTree2	set_5	1000000	0.0001	0.0012813247740268707	3
QuadTree2	set_5	1000000	1e-06	0.0010625608265399933	0
QuadTree2	set_6	10	1	1.562759280204773e-05	3
